Year,Manufacturer,Division,Car_Model,City_FE_Alternative,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,Annual_Fuel_Cost_Conventional,Annual_Fuel_Cost_Alternative,Fuel_Efficiency_Rating,GHG_Rating,Savings_5Yrs,Spending_5Yrs,City_CO2,Hwy_CO2,Comb_CO2
2021,Honda,Acura,NSX,21.0,22.0,21.0,2300,,4,4,,4000.0,420,406,420
2021,aston martin,Aston Martin,Vantage Manual,14.0,21.0,17.0,2850,,3,3,,6750.0,636,426,541
2021,aston martin,Aston Martin,Vantage V8,18.0,24.0,20.0,2450,,4,4,,4750.0,494,364,435
2021,Volkswagen Group of,Audi,R8,13.0,20.0,16.0,3050,,2,2,,7750.0,663,450,567
2021,Volkswagen Group of,Audi,R8 2WD,14.0,23.0,17.0,2850,,3,3,,6750.0,645,386,528
2021,Volkswagen Group of,Audi,R8 Spyder,13.0,20.0,16.0,3050,,2,2,,7750.0,663,450,567
2021,Volkswagen Group of,Audi,R8 Spyder 2WD,14.0,23.0,17.0,2850,,3,3,,6750.0,645,386,528
2021,Volkswagen Group of,Audi,TT Roadster quattro,23.0,31.0,26.0,1550,,5,5,,250.0,389,290,344
2021,BMW,BMW,Z4 M40i,22.0,30.0,25.0,1950,,5,5,,2250.0,401,299,355
2021,BMW,BMW,Z4 sDrive30i,25.0,32.0,28.0,1750,,6,6,,1250.0,358,275,321
2021,Volkswagen Group of,Bugatti,Chiron,9.0,14.0,11.0,4450,,1,1,,14750.0,1010,632,840
2021,Volkswagen Group of,Bugatti,Chiron Pur Sport,8.0,13.0,10.0,4900,,1,1,,17000.0,1055,695,893
2021,General Motors,Chevrolet,CORVETTE,15.0,27.0,19.0,2550,,3,3,,5250.0,581,329,467
2021,Ferrari,"Ferrari North America, Inc.",812 GTS,12.0,15.0,13.0,3750,,1,1,,11250.0,733,581,665
2021,Ferrari,"Ferrari North America, Inc.",812 Superfast,12.0,16.0,13.0,3750,,1,1,,11250.0,747,557,661
2021,Ferrari,"Ferrari North America, Inc.",F8 Spider,15.0,18.0,16.0,3050,,2,2,,7750.0,606,487,552
2021,Ferrari,"Ferrari North America, Inc.",F8 Tributo,15.0,19.0,16.0,3050,,2,2,,7750.0,605,462,541
2021,Ford Motor Company,Ford,FORD GT,12.0,18.0,14.0,3500,,1,1,,10000.0,752,485,632
2021,Jaguar Land Rover L,Jaguar,F-TYPE Convertible,23.0,30.0,26.0,1900,,5,5,,2000.0,386,296,346
