Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Lockup Torque Converter,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,City CO2 Rounded Adjusted - Fuel2,Hwy CO2 Rounded Adjusted - Fuel2,Comb CO2 Rounded Adjusted - Fuel2,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,Unnamed: 74,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEV only),Charge Depleting Calc Appr Desc (PHEV only),Charge Sustaining Calc Appr Code (PHEV only),Charge Sustaining Calc Appr Desc (PHEV only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N),Unnamed: 130,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe
2022,Honda,Acura,NSX,HNX,521,3.5,6,Auto(AM-S9),21,22,21,28.7,30.2,29.3561,21.0,21.7131,21.0,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,9,Y,N,A,All Wheel Drive,10.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2100,2100,,,,,,,,,,,,,,,,,,,,SIDI & PFI; Hybrid; ,2,2,1,Two Seaters,car,Derived 5-cycle label,2022-01-10,30775,,N,N,,,N,N,,N,,Y,Variable Timing control (VTC) system is applied.,N,,Battery(s),,1.0,Lithium Ion,,259.0,4.25,66.8,On-Board,,,Electrical Regen Brake,,Both,N,,,,,3.0,"DC Permanent Magnet, brushless",,"27, 27, 35",,,GDPI,Spark Ignition direct & ported injection,N,N,N,0W-40,Y,Yes,,,,,,,,29.5,,,4,4,,NHNXV03.5EBN,3,,,,,,,,,,,,,,,,4000.0,420,406,420,,,,,,,
2022,Honda,Acura,NSX,HNX,521,3.5,6,Auto(AM-S9),21,22,21,28.7,30.2,29.3561,21.0,21.7131,21.0,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,9,Y,N,A,All Wheel Drive,10.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2100,2100,,,,,,,,,,,,,,,,,,,,SIDI & PFI; Hybrid; ,2,2,1,Two Seaters,car,Derived 5-cycle label,2022-01-10,30775,,N,N,,,N,N,,N,,Y,Variable Timing control (VTC) system is applied.,N,,Battery(s),,1.0,Lithium Ion,,259.0,4.25,66.8,On-Board,,,Electrical Regen Brake,,Both,N,,,,,3.0,"DC Permanent Magnet, brushless",,"27, 27, 35",,,GDPI,Spark Ignition direct & ported injection,N,N,N,0W-40,Y,Yes,,,,,,,,29.5,,,4,4,,NHNXV03.5EBN,3,,,,,,,,,,,,,,,,4000.0,420,406,420,,,,,,,
2022,aston martin,Aston Martin Lagonda Ltd,Vantage V8,ASX,4,4.0,8,Auto(A8),18,24,20,22.5379,34.2945,26.6489,17.9972,24.4274,20.4155,,TC,Turbocharged,A,Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10.0,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,2200,2200,,,,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Derived 5-cycle label,2021-10-25,30745,,N,N,,,N,N,Standard power specification - Vantage V8,N,,Y,Inlet and Exhaust Cam Phasing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,0W40,N,No,Vantage,,,,,,,27.0,,,4,4,,NASXV04.0AES,5,,,,,,,,,,,,,,,,4500.0,494,364,435,,,,,,,
2022,Volkswagen Group of,Audi,R8 Coupe,VGA,14,5.2,10,Auto(AM-S7),13,19,15,15.6266,25.6782,18.9678,13.1687,19.479,15.416,G,,Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,7,N,N,A,All Wheel Drive,15.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2950,2950,,,,,,,,,,,,,,,,,,,,SIDI & PFI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,2021-06-25,29377,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,19.1,,,2,2,,NVGAV05.2NBE,1,,,,,,,,,,,,,,,,8250.0,670,453,572,,,,,,,
2022,Volkswagen Group of,Audi,R8 Coupe RWD,VGA,16,5.2,10,Auto(AM-S7),14,23,17,16.5144,29.2412,20.5366,14.0331,22.8583,16.9838,G,,Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,7,N,N,R,"2-Wheel Drive, Rear",15.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2600,2600,,,,,,,,,,,,,,,,,,,,SIDI & PFI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,2021-06-25,29379,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,20.7,,,3,3,,NVGAV05.2NBE,1,,,,,,,,,,,,,,,,6500.0,627,385,518,,,,,,,
2022,Volkswagen Group of,Audi,R8 Spyder,VGA,15,5.2,10,Auto(AM-S7),13,19,15,15.6266,25.6782,18.9678,13.1687,19.479,15.416,G,,Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,7,N,N,A,All Wheel Drive,15.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2950,2950,,,,,,,,,,,,,,,,,,,,SIDI & PFI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,2021-06-25,29378,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,19.1,,,2,2,,NVGAV05.2NBE,1,,,,,,,,,,,,,,,,8250.0,670,453,572,,,,,,,
2022,Volkswagen Group of,Audi,R8 Spyder RWD,VGA,17,5.2,10,Auto(AM-S7),14,23,17,16.5144,29.2412,20.5366,14.0331,22.8583,16.9838,G,,Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,7,N,N,R,"2-Wheel Drive, Rear",15.0,,,GPR,Gasoline (Premium Unleaded Required),MPG,miles per gallon,N,Not exempt,,,,,,,2600,2600,,,,,,,,,,,,,,,,,,,,SIDI & PFI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,2021-06-25,29380,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,20.7,,,3,3,,NVGAV05.2NBE,1,,,,,,,,,,,,,,,,6500.0,627,385,518,,,,,,,
2022,Volkswagen Group of,Audi,TT Roadster quattro,VGA,36,2.0,4,Auto(AM-S7),23,30,26,28.4557,42.0083,33.2884,22.6927,30.187,25.5467,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,7,N,N,A,All Wheel Drive,15.0,,,G,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,1350,1350,,,,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,2021-06-25,29438,,Y,N,,,N,N,Engine Code: DHHA,N,,Y,CONTINUOUS VARIABLE VALVE TIMING,Y,AUDI VALVE LIFT SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,0W20 VW50800,Y,Yes,,,,,,,,33.5,,,5,5,,NVGAJ02.0A3T,7,,,,,,,,,,,,,,,,250.0,389,292,346,,,,,,,
2022,BMW,BMW,Z4 M40i,BMX,352,3.0,6,Auto(S8),22,29,25,27.8,41.5,32.6503,21.824,29.0835,24.5855,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10.0,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,1750,1750,,,,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Derived 5-cycle label,2021-07-09,29726,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,,,,,,32.9,,,5,5,,NBMXV03.0B5X,5,,,,,,,,,,,,,,,,2250.0,403,303,358,,,,,,,
2022,BMW,BMW,Z4 sDrive30i,BMX,350,2.0,4,Auto(S8),25,32,28,32.5291,46.5091,37.6174,25.1544,32.2328,27.9128,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10.0,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,1600,1600,,,,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Derived 5-cycle label,2021-07-09,29712,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,,,,,,37.9,,,6,6,,NBMXJ02.0B4X,7,,,,,,,,,,,,,,,,1500.0,351,274,317,,,,,,,
